Country,Region,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint
Mozambique,Africa,25.2,0.41,538.82,0.31,0.03,0.29,0.17,0.03
Myanmar,Asia-Pacific,52.8,0.53,1117.58,0.8,0.01,0.32,0.09,0.1
Namibia,Africa,2.26,0.62,5880.8,0.33,0.23,0.17,1.02,0.72
Nauru,Asia-Pacific,0.01,,,,,,,
Nepal,Asia-Pacific,27.47,0.54,700.07,0.43,0.07,0.21,0.16,0
Netherlands,European Union,16.71,0.92,53589.9,0.76,0.58,0.38,3.23,0.16
New Caledonia,Asia-Pacific,0.25,,,0.68,0.62,0.18,1.78,0.32
New Zealand,Asia-Pacific,4.46,0.91,37488.3,0.63,0.23,1.08,2.84,0.7
Nicaragua,Latin America,5.99,0.63,1626.85,0.34,0.12,0.42,0.45,0.03
Niger,Africa,17.16,0.34,410.91,0.67,0.48,0.26,0.1,0.02
Nigeria,Africa,168.83,0.5,2612.12,0.53,0.1,0.19,0.21,0.08
Norway,Northern/Eastern Europe,4.99,0.94,100172,,,,,
Oman,Middle East/Central Asia,3.31,0.79,22622.8,0.57,0.4,0.15,5.8,0.4
Pakistan,Asia-Pacific,179.16,0.53,1218.6,0.27,0.01,0.08,0.38,0.02
Panama,Latin America,3.8,0.77,8410.77,0.36,0.4,0.19,1.44,0.37
Papua New Guinea,Asia-Pacific,7.17,0.5,1871.21,0.3,0.05,0.36,0.35,0.73
Paraguay,Latin America,6.69,0.67,3557.31,1.11,1.1,0.83,0.97,0.01
Peru,Latin America,29.99,0.73,5684.73,0.5,0.51,0.19,0.67,0.33
Philippines,Asia-Pacific,96.71,0.66,2379.44,0.36,0.03,0.09,0.34,0.23
Poland,European Union,38.21,0.84,13769.5,0.84,0.04,0.78,2.64,0.05
Portugal,European Union,10.6,0.83,23217.3,1.03,0.25,0.09,2.15,0.31
Qatar,Middle East/Central Asia,2.05,0.85,99431.5,0.57,0.27,0.15,9.57,0.19
La Réunion,Africa,0.86,,,0.14,0.01,0.15,3.27,0.09
Romania,European Union,21.76,0.79,9213.94,0.72,0.05,0.33,1.46,0.03
Russian Federation,Northern/Eastern Europe,143.17,0.79,13320.2,0.77,0.15,0.67,3.87,0.19
Rwanda,Africa,11.46,0.48,628.08,0.43,0.05,0.25,0.07,0.01
Saint Kitts and Nevis,Latin America,0.05,0.74,12952.5,0.51,0.18,0.09,3.34,0.81
Saint Lucia,Latin America,0.18,0.73,7737.2,0.38,0.1,0.17,1.56,0.23
Saint Vincent and Grenadines,Latin America,0.11,0.72,6171.48,,,,,
Samoa,Asia-Pacific,0.19,0.7,4067.15,0.97,0.16,0.27,0.96,0.42
Sao Tome and Principe,Africa,0.19,0.55,1384.53,0.36,0.02,0.27,0.37,0.47
Saudi Arabia,Middle East/Central Asia,28.29,0.83,23593.8,0.74,0.27,0.27,4.21,0.08
Senegal,Africa,13.73,0.46,1079.27,0.34,0.21,0.21,0.3,0.12
Serbia,Northern/Eastern Europe,9.55,0.76,6426.18,0.49,0.02,0.46,1.66,0.02
Sierra Leone,Africa,5.98,0.4,499.89,0.47,0.11,0.38,0.07,0.15
Singapore,Asia-Pacific,5.3,0.91,53122.4,0.67,0.24,0.91,5.91,0.22
Slovakia,European Union,5.45,0.84,18103.1,0.31,0.08,0.72,2.82,0.03
Slovenia,European Union,2.07,0.88,25040.5,0.64,0.17,0.65,4.27,0.05
Solomon Islands,Asia-Pacific,0.55,0.5,1647.86,0.47,0.03,0.09,0,0.46
Somalia,Africa,10.2,,,0.16,0.43,0.52,0.07,0.01
South Africa,Africa,52.39,0.66,8089.87,0.44,0.11,0.29,2.34,0.08
Spain,European Union,46.76,0.87,32008.7,0.78,0.15,0.17,2.22,0.32
Sri Lanka,Asia-Pacific,21.1,0.75,2880.03,0.31,0.01,0.16,0.52,0.27
Suriname,Latin America,0.54,0.71,8190.7,0.43,0.06,0.52,3.01,0.14
